kind,id,path,sha256,bytes
lesson,041,lessons/041-cpu-architecture-alu-cu-registers-buses-and-clock.md,3ffa826db5425bb536262ecccf2532c09e93747c92f87d814685bc7538c58707,9215
lesson,042,lessons/042-the-fetch-decode-execute-cycle.md,5e482e5d38f5533d27cdf413b0dbf74e849bf4bce80f5ada04bc589531c05da8,9581
lesson,043,lessons/043-registers-pc-cir-mar-mdr-acc-and-status-register.md,e567a0a65c28bc705362ccc5bde794a40823ed1fa90011889254e833d32d884b,9225
lesson,044,lessons/044-system-buses-address-data-and-control.md,5a1fb8d829b333a7d3cfcb318fea86f1677724c1a3d7af5a8a313f8e496c3dcc,8980
lesson,045,lessons/045-instruction-sets-and-machine-code.md,8e6e64b3be560a6ce4e4b11e4730d0d9a36e73ff9cae24f6f9e440daa9a0de47,9324
lesson,046,lessons/046-assembly-language-basics-and-mnemonics.md,d897821846d400eb6b8c94a68a839ba4816037f782ef656658bc1152fb7f4194,11209
lesson,047,lessons/047-addressing-modes-and-operand-interpretation.md,e684526967b282acd53965dcab0f2422d66b2bc87caf828795ff5785a7c073b0,9159
lesson,048,lessons/048-interrupts-and-interrupt-service-routines.md,d77db5b80847a1bd4a2852673947dfd9f5dd59eeec1ed87be0c55a93e38065ce,10637
lesson,049,lessons/049-performance-factors-cores-cache-clock-speed-and-word-length.md,24f806b2020026f490af041723886d0e3ba6104616129a79c59188ea25185c63,10602
lesson,050,lessons/050-bit-manipulation-masks-and-binary-shifts.md,2847239aa033eac5e44981c9712c2300b6cd74635c876ead25b9348229c8fb11,11018
lesson,051,lessons/051-section-4-review-tracing-processor-behaviour.md,0e3f6b66ce68db3fe49569233fea1862169d785ca7b221ade0a3c66ec0b62923,8707
lesson,052,lessons/052-system-software-overview-operating-systems-utility-software-and-transl.md,059954e38ce4f027caa51c90dacea04eecaa30b5131e73eb9cff4a0242c08c9c,8043
lesson,053,lessons/053-operating-system-roles-process-memory-file-and-device-management.md,18c964ca577a69a6ccfc03d499093c289fab0bdb52c82fb59702fa9864012201,10144
lesson,054,lessons/054-user-interfaces-command-line-graphical-menu-driven-and-natural-languag.md,5c79033b1f5411fa8e7bb8c711f910474dc0b55248efb231a863a25de33a4d14,7733
lesson,055,lessons/055-utility-software-backup-compression-encryption-defragmentation-and-ant.md,dff67739414c7cce111792ca60682ac032dc2dd9d68adfc838c975337ab79efa,10239
lesson,056,lessons/056-compilers-interpreters-and-assemblers.md,390c4d2050c1aa710935ab4ca1e34060be92195e385aeb44f23eaa76f5b8f636,10873
lesson,057,lessons/057-compilation-stages-lexical-analysis-to-object-code.md,20c37c861c8c6eb04dcd9ab03dfa912a1539e19cca55a460c63ff0b60fb24ed0,7234
lesson,058,lessons/058-linkers-loaders-and-libraries.md,c907e210d39c5bd56cc6b96ddd17dc02a7d2b3235737ee25c68a1acbe98fc131,9576
lesson,059,lessons/059-error-types-syntax-logic-runtime-and-translation-diagnostics.md,d5bed9d9f42b2c43752b20cf5dcb1614a1ab4008cf3e9588ee2c4cf4fc16d6aa,10600
lesson,060,lessons/060-choosing-translation-approaches-for-development-and-deployment.md,091501cebcfe86be22b8b22d9a3173f23f4e041ae3e908f2a81646e32fb6b369,10836
lesson,061,lessons/061-section-5-review-precise-software-comparisons.md,d17104ed649dd0469b62b7ad9efaec5a13d6fcaebde2a892304fa151f093c14f,5763
lesson,062,lessons/062-security-goals-confidentiality-integrity-availability-and-authenticity.md,62e24d6ca7404821723213e13f9d044f6c01a3944c5935fe2c2be14bc799cd96,10616
lesson,063,lessons/063-malware-types-and-social-engineering.md,776db17ad77521e1c65eefdeff4d9fac9b967408d3f17b9dd2f2489eae063e39,10893
