path,size_bytes,sha256
audits/syllabus-gate-remediation.md,1175,493b22e729cdc4906eb099891e104f06def69290e23f179a37fb42213ae7a0c7
audits/syllabus-prerequisite-graph.json,86286,e3750b04fbaac7c7ed470f1a923c858c6b382e6bab7e04d04ef297cb30894ff3
audits/visual-semantic-remediation-register.json,190116,a375387fecc8c54e33c646bb08a56c657b698044e3175a6ace114ab77a9c2760
audits/visual-semantic-review-ledger.json,1717528,9425c2697592864eccb450440cc2d965a99b4c40a6709fb3615bedb58bb512e4
course-map.md,4527,b54d7fc2c6b8008e748fe42a6f325b95dc2334ecb91cc3650c577a9396f29df6
lessons/001-bits-bytes-nibbles-and-storage-units.md,6556,2d376fb346809a33b0177f0ef74a825b1e834f725d561c6a51df085e1ce2da8f
lessons/002-binary-place-value-and-denary-conversion.md,7601,5d67f3215c66d6883b25dd7f42e886bb1ad8dc748c8f451c776aae7e0e28a27c
lessons/003-hexadecimal-notation-and-binary-grouping.md,7037,361f953454dccad9ca28723e250428344a15eeba97d4eda56a2de7d9a02518e7
lessons/004-binary-addition-carries-and-overflow.md,8048,136339e2cc926046f86f9e5fa803fe760ba6c4e09a44ba27d911a283439ddd01
lessons/005-signed-binary-sign-and-magnitude-and-twos-complement.md,8091,b433b5f943148bb221006deaa6a492a713cb153eed39b3186c3c21e0c6301331
lessons/006-binary-fractions-and-precision-limits.md,8151,04ea9eed03fc46a8d09b48bfec340c371c65ec5647767d66249b6e70cb256deb
lessons/007-character-sets-ascii-unicode-and-why-emojis-are-not-magic.md,9032,77dcd438fbefb01297f96d5eeb6344f0425e850a2b6375d937834b89028f442a
lessons/008-bitmap-images-pixels-resolution-and-colour-depth.md,8249,ca6442aff16b7ca29de45f7423d2c2e45b49dcb0d93c58a7379d567d09afda1f
lessons/009-image-file-size-calculations-and-metadata.md,7896,c95af364e7fc1bd22200ad6bf24d59fa7576629e947660f2020551eb8cc0994a
lessons/010-digital-sound-sampling-rate-sample-resolution-and-duration.md,9457,b0f3420ce11582eb5b2b45110833f964873c366040d5f2da4458efaa5431ec57
lessons/011-sound-file-size-calculations.md,6074,729e3ebf232bdd14b16373c178b8ebad0e39e8d45b47d8beb0db0591467c6b17
lessons/012-compression-lossless-vs-lossy.md,9816,6dc377c6bf8f1ee5fb6aa2d3991a8bf2e428e61848de3665dc05ba34418604d9
lessons/013-run-length-encoding-and-dictionary-style-compression.md,5421,d455d6f8a500bee08004a8331b80b04076c6169d326758056cd395834d16fff6
lessons/014-choosing-data-representation-for-a-real-system.md,5556,f18c88c644552895195bf9dac9d014e273d199c92ed116a30cd84349f88a4b49
lessons/015-section-1-review-representation-calculations-under-exam-timing.md,5953,aa173eec7102b7974b7f536f4d751c1b65d6ec3b8143473c940dcfd7fc98e0c8
lessons/016-network-purposes-lan-wan-and-network-topologies.md,13003,610ba52581e78375c37d6af038ef1c1238c77620fb0ee98bba22675594c6e1da
lessons/017-client-server-and-peer-to-peer-models.md,9181,53febd9da0ee473bd92cddd931af37416cf135f26cc84b1c390d6b9ea9aaa3e4
lessons/018-packet-switching-routing-and-packet-structure.md,10160,d90de353becb4a1e6be6d7d1832772f9abeaae02f94a66a78b56e159b2893fa1
